"project_id","org_name"
"50116","East Bay Municipal Utili..."
"50141","East Bay Municipal Utili..."
"49924","SWRCB"
"49952","SWRCB"
"50126","DWR"
"50126","SWRCB"
"50140","SWRCB"
"50176","SWRCB"
"50107","NMFS"
"50109","NMFS"
"50176","NMFS"
"50096","DWR"
"50096","USACE"
"50097","DWR"
"50097","USACE"
"50158","DWR"
"50198","DWR"
"50199","DWR"
"50199","USACE"
"50176","USEPA"
"50144","SWRCB"
"50144","USEPA"
"50180","SWRCB"
"50180","USEPA"
"49923","SWRCB"
"49941","USEPA"
"50081","USEPA"
"50081","USFWS"
"50187","USEPA"
"50094","California State Coastal..."
"50087","PSMFC"
"50094","PSMFC"
"50137","CDFW"
"50137","PSMFC"
"50142","CDFW"
"50142","PSMFC"
"50214","PSMFC"
"50112","OEHHA"
"50112","SCCWRP"
"50135","CDFW"
"50135","SCCWRP"
"49923","SFEI"
"50118","CDFA"
"50118","DPR"
"50145","DPR"
"50081","CDFA"
"50081","DPR"
"50140","DPR"
"50135","CSU"
"50135","MLML"
"50137","Western Ecosystems Techn..."
"50141","Fishery Foundation of Ca..."
"50141","Yuba River Management Te..."
"49942","CDFW"
"49942","NOAA"
"50143","CDFW"
"50143","NOAA"
"50147","NOAA"
"50148","NOAA"
"50145","SMC"
"50180","DPR"
"50083","NOAA"
"50158","NOAA"
"50171","NOAA"
"50076","DWR"
"50076","USGS"
"50128","DWR"
"50128","USGS"
"50140","USGS"
"50144","NOAA"
"50180","USGS"
"50187","NOAA"
"49938","NOAA"
"49938","USGS"
"50098","USEPA"
"50098","USGS"
"50100","CNRA"
"50208","CNRA"
"50208","Ducks Unlimited"
"49809","Delta Stewardship Counci..."
"49809","USGS"
"49857","USGS"
"49857","UC Davis"
"49868","USGS"
"49868","UC Davis"
"49872","USGS"
"49872","UC Davis"
"49879","USGS"
"49879","UC Davis"
"49805","USGS"
"49805","UCSC"
"49882","USGS"
"49882","UCSC"
"50212","PSMFC"
"50212","USBR"
"50082","DPR"
"50082","USEPA"
"50204","CALFIRE"
"50204","UC Berkeley"
"50204","DWR"
"50102","PARKS"
"50102","BCDC"
"50102","SFSU"
"50102","Solano Land Trust"
"50102","NOAA"
"50173","Sacramento-San Joaquin D..."
"50173","UC Davis"
"49816","DPR"
"49816","USGS"
"49816","UC Riverside"
"50140","Lawrence Livermore Natio..."
"50197","CDPH"
"50197","USGS"
"50197","DOC"
"50194","DOC"
"50194","USGS"
"50195","DOC"
"50195","USGS"
"49862","DWR"
"49862","Michigan State Universit..."
"49950","Regional San"
"49779","SFEI"
"49779","USGS"
"49787","SFEI"
"49787","USGS"
"49805","SFEI"
"49809","SFEI"
"49857","SFEI"
"50156","SFEI"
"50177","SFEI"
"50177","USGS"
"50192","SFEI"
"50192","USGS"
"50076","CCWD"
"50107","DFG"
"50109","DFG"
"50161","DFG"
"50162","DFG"
"50176","DFG"
"50126","Central Valley RWQCB"
"50128","California Rice Commissi..."
"50090","CDFW"
"50090","DFG"
"50198","NASA"
"50175","NASA"
"50199","UCSD"
"50188","Caltech"
"50188","CWU"
"50188","LBNL"
"50188","UW"
"50188","USGS"
"49803","USGS"
"49803","UW"
"50130","California Institute of..."
"50130","NASA"
"50175","CALCC"
"50175","Southwest Climate Adapta..."
"50105","California State Board o..."
"50105","SWRCB"
"49942","CSLC"
"49923","Sacramento-San Joaquin D..."
"50117","SWRCB"
"50117","California Water Board -..."
"50165","PARKS"
"50165","SWRCB"
"50096","CVFPB"
"52581","Chapman University"
"52581","Santa Clara University"
"52581","Utah State University"
"52581","Purdue University"
