"from_org_id","to_org_id","1995-2009","2010-2024","before 1980","1980-1994"
"49602","49606",FALSE,FALSE,TRUE,FALSE
"49603","49605",FALSE,FALSE,TRUE,FALSE
"49603","49606",FALSE,FALSE,TRUE,FALSE
"49603","49609",FALSE,FALSE,TRUE,FALSE
"49605","49606",FALSE,FALSE,TRUE,FALSE
"49605","49609",FALSE,FALSE,TRUE,FALSE
"49606","49609",FALSE,FALSE,TRUE,FALSE
"49602","49624",TRUE,FALSE,FALSE,FALSE
"49602","49674",TRUE,FALSE,FALSE,FALSE
"49624","49674",TRUE,FALSE,FALSE,FALSE
"49624","49715",TRUE,FALSE,FALSE,FALSE
"49674","49715",TRUE,FALSE,FALSE,FALSE
"49602","49682",FALSE,FALSE,TRUE,TRUE
"49602","49716",FALSE,FALSE,TRUE,FALSE
"49606","49625",TRUE,FALSE,TRUE,FALSE
"49606","49716",FALSE,FALSE,TRUE,FALSE
"49606","49750",FALSE,FALSE,TRUE,FALSE
"49625","49716",FALSE,FALSE,TRUE,FALSE
"49625","49750",FALSE,FALSE,TRUE,FALSE
"49716","49750",FALSE,FALSE,TRUE,FALSE
"49609","49682",TRUE,FALSE,TRUE,TRUE
"49609","49743",TRUE,FALSE,TRUE,TRUE
"49625","49682",FALSE,FALSE,TRUE,FALSE
"49625","49731",TRUE,TRUE,TRUE,FALSE
"49625","49743",TRUE,FALSE,TRUE,FALSE
"49682","49728",FALSE,FALSE,TRUE,TRUE
"49682","49731",TRUE,FALSE,TRUE,FALSE
"49682","49740",FALSE,FALSE,TRUE,FALSE
"49682","49741",FALSE,FALSE,TRUE,FALSE
"49682","49743",TRUE,FALSE,TRUE,TRUE
"49728","49731",FALSE,FALSE,TRUE,TRUE
"49731","49740",FALSE,FALSE,TRUE,FALSE
"49740","49743",TRUE,FALSE,TRUE,FALSE
"49681","49731",TRUE,FALSE,TRUE,FALSE
"49681","49743",FALSE,FALSE,TRUE,FALSE
"49602","49616",TRUE,FALSE,FALSE,TRUE
"49602","49654",FALSE,FALSE,FALSE,TRUE
"49609","49616",TRUE,FALSE,FALSE,TRUE
"49609","49654",FALSE,FALSE,FALSE,TRUE
"49609","49727",FALSE,FALSE,FALSE,TRUE
"49616","49654",FALSE,FALSE,FALSE,TRUE
"49616","49727",FALSE,FALSE,FALSE,TRUE
"49616","49728",FALSE,FALSE,FALSE,TRUE
"49616","49731",FALSE,FALSE,FALSE,TRUE
"49616","49741",FALSE,FALSE,FALSE,TRUE
"49616","49743",FALSE,FALSE,FALSE,TRUE
"49654","49727",FALSE,FALSE,FALSE,TRUE
"49654","49728",FALSE,FALSE,FALSE,TRUE
"49654","49731",FALSE,FALSE,FALSE,TRUE
"49654","49741",FALSE,FALSE,FALSE,TRUE
"49654","49743",FALSE,FALSE,FALSE,TRUE
"49727","49731",FALSE,FALSE,FALSE,TRUE
"49741","49750",FALSE,TRUE,FALSE,FALSE
"49743","49750",FALSE,TRUE,FALSE,FALSE
"49743","49756",FALSE,TRUE,FALSE,FALSE
"49692","49731",FALSE,TRUE,FALSE,FALSE
"49665","49741",FALSE,TRUE,FALSE,FALSE
"49603","49740",FALSE,FALSE,TRUE,FALSE
"49603","49741",FALSE,FALSE,TRUE,FALSE
"49606","49740",TRUE,FALSE,TRUE,FALSE
"49606","49741",FALSE,FALSE,TRUE,FALSE
"49605","49704",TRUE,FALSE,FALSE,FALSE
"49605","49708",TRUE,FALSE,FALSE,FALSE
"49605","49714",TRUE,FALSE,FALSE,FALSE
"49605","49682",TRUE,FALSE,FALSE,FALSE
"49704","49708",TRUE,FALSE,FALSE,FALSE
"49704","49714",TRUE,FALSE,FALSE,FALSE
"49682","49704",TRUE,FALSE,FALSE,FALSE
"49708","49714",TRUE,FALSE,FALSE,FALSE
"49682","49708",TRUE,FALSE,FALSE,FALSE
"49682","49714",TRUE,FALSE,FALSE,FALSE
"49605","49750",FALSE,FALSE,FALSE,TRUE
"49733","49750",FALSE,FALSE,FALSE,TRUE
"49606","49743",TRUE,TRUE,FALSE,FALSE
"49606","49753",FALSE,TRUE,FALSE,FALSE
"49743","49753",FALSE,TRUE,FALSE,FALSE
"49607","49743",FALSE,FALSE,FALSE,TRUE
"49601","49607",FALSE,FALSE,FALSE,TRUE
"49601","49743",FALSE,FALSE,TRUE,TRUE
"49609","49707",FALSE,TRUE,FALSE,FALSE
"49707","49743",FALSE,TRUE,TRUE,TRUE
"49609","49649",TRUE,FALSE,TRUE,TRUE
"49649","49681",TRUE,FALSE,TRUE,FALSE
"49649","49741",TRUE,FALSE,TRUE,FALSE
"49649","49731",TRUE,FALSE,TRUE,FALSE
"49609","49633",FALSE,FALSE,FALSE,TRUE
"49625","49633",FALSE,FALSE,FALSE,TRUE
"49602","49649",FALSE,FALSE,TRUE,TRUE
"49625","49649",FALSE,FALSE,TRUE,FALSE
"49649","49728",FALSE,FALSE,TRUE,FALSE
"49649","49740",FALSE,FALSE,TRUE,FALSE
"49649","49743",FALSE,FALSE,TRUE,FALSE
"49609","49675",FALSE,FALSE,FALSE,TRUE
"49675","49728",FALSE,FALSE,FALSE,TRUE
"49675","49743",TRUE,FALSE,FALSE,TRUE
"49609","49754",FALSE,TRUE,FALSE,FALSE
"49728","49754",FALSE,TRUE,FALSE,FALSE
"49743","49761",FALSE,TRUE,FALSE,FALSE
"49615","49675",TRUE,FALSE,FALSE,FALSE
"49615","49727",TRUE,FALSE,FALSE,FALSE
"49615","49743",TRUE,FALSE,FALSE,FALSE
"49675","49727",TRUE,FALSE,FALSE,FALSE
"49707","49741",FALSE,TRUE,FALSE,TRUE
"49605","49625",TRUE,FALSE,FALSE,FALSE
"49630","49728",FALSE,TRUE,FALSE,FALSE
"49609","49630",FALSE,TRUE,FALSE,FALSE
"49635","49712",FALSE,TRUE,FALSE,FALSE
"49635","49762",FALSE,TRUE,FALSE,FALSE
"49712","49762",FALSE,TRUE,FALSE,FALSE
"49636","49644",FALSE,TRUE,FALSE,FALSE
"49636","49707",FALSE,TRUE,FALSE,FALSE
"49644","49707",FALSE,TRUE,FALSE,FALSE
"49664","49727",FALSE,TRUE,FALSE,FALSE
"49664","49752",FALSE,TRUE,FALSE,FALSE
"49664","49707",FALSE,TRUE,FALSE,FALSE
"49727","49752",FALSE,TRUE,FALSE,FALSE
"49707","49727",FALSE,TRUE,FALSE,FALSE
"49707","49752",FALSE,TRUE,FALSE,FALSE
"49642","49731",FALSE,TRUE,FALSE,FALSE
"49651","49682",FALSE,FALSE,FALSE,TRUE
"49663","49682",FALSE,FALSE,FALSE,TRUE
"49663","49728",FALSE,FALSE,FALSE,TRUE
"49663","49743",FALSE,FALSE,FALSE,TRUE
"49609","49663",FALSE,FALSE,FALSE,TRUE
"49664","49743",FALSE,TRUE,FALSE,FALSE
"49664","49749",FALSE,TRUE,FALSE,FALSE
"49667","49752",FALSE,TRUE,FALSE,FALSE
"49669","49743",FALSE,TRUE,FALSE,FALSE
"49669","49762",FALSE,TRUE,FALSE,FALSE
"49669","49750",FALSE,TRUE,FALSE,FALSE
"49743","49762",FALSE,TRUE,FALSE,FALSE
"49750","49762",FALSE,TRUE,FALSE,FALSE
"49674","49707",FALSE,TRUE,FALSE,FALSE
"49645","49674",FALSE,TRUE,FALSE,FALSE
"49645","49707",FALSE,TRUE,FALSE,FALSE
"49675","49682",FALSE,TRUE,FALSE,FALSE
"49675","49742",FALSE,TRUE,FALSE,FALSE
"49682","49742",FALSE,TRUE,FALSE,FALSE
"49676","49682",FALSE,FALSE,TRUE,FALSE
"49676","49731",FALSE,FALSE,TRUE,FALSE
"49676","49732",FALSE,FALSE,TRUE,FALSE
"49676","49733",FALSE,FALSE,TRUE,FALSE
"49676","49737",FALSE,FALSE,TRUE,FALSE
"49676","49739",FALSE,FALSE,TRUE,FALSE
"49676","49740",FALSE,FALSE,TRUE,FALSE
"49676","49741",FALSE,FALSE,TRUE,FALSE
"49676","49765",FALSE,FALSE,TRUE,FALSE
"49676","49773",FALSE,FALSE,TRUE,FALSE
"49676","49743",FALSE,FALSE,TRUE,FALSE
"49682","49732",FALSE,FALSE,TRUE,FALSE
"49682","49733",FALSE,FALSE,TRUE,FALSE
"49682","49737",FALSE,FALSE,TRUE,FALSE
"49682","49739",FALSE,FALSE,TRUE,FALSE
"49682","49765",FALSE,FALSE,TRUE,FALSE
"49682","49773",FALSE,FALSE,TRUE,FALSE
"49731","49732",FALSE,FALSE,TRUE,FALSE
